id,carbs_ingredients_id,fruits_ingredients_id,vegetables_ingredients_id,amount_carbs,amount_fruits,amount_vegetables
5,26,4,13,94,147,37
6,27,6,15,116,108,45
7,26,8,15,94,140,65
1,28,5,10,82,130,48
2,28,1,18,123,149,62
3,27,1,10,91,142,47
4,20,7,14,104,146,36
5,20,4,10,101,116,71
6,20,1,9,83,137,78
7,20,6,13,112,124,31
1,27,8,16,89,136,56
2,28,3,13,81,131,36
3,28,6,19,123,119,45
4,27,4,11,105,130,63
5,26,1,19,85,117,31
6,28,4,22,89,126,63
7,27,4,22,90,121,60
1,20,2,13,89,136,77
2,20,4,19,100,142,44
3,27,4,16,84,130,68
4,20,4,11,85,139,75
5,28,8,17,84,140,78
6,27,3,14,114,106,77
7,27,7,15,92,143,39
1,27,2,17,119,148,39
2,27,4,13,96,116,53
3,28,7,18,99,113,42
4,27,2,17,91,108,54
5,20,2,22,86,136,47
6,27,6,14,93,149,41
7,26,4,13,98,120,34
1,28,7,9,119,139,45
2,20,1,9,100,126,31
3,28,5,14,83,102,50
4,28,3,11,81,143,59
5,20,8,21,115,128,63
6,20,6,15,75,125,53
7,27,8,17,107,128,35
1,27,2,12,101,145,37
2,20,4,9,103,118,39
3,20,2,21,107,126,59
4,26,2,17,85,105,43
5,28,4,18,103,135,66
6,20,8,21,113,128,31
7,20,7,12,77,115,41
1,27,1,18,117,101,74
2,28,1,14,116,111,43
3,27,2,17,100,119,64
4,20,6,17,105,115,63
5,26,3,16,120,139,54
6,28,1,18,80,105,35
7,26,1,19,92,116,53
1,27,2,9,105,124,47
2,27,5,17,97,102,61
3,20,6,14,103,129,69
4,28,2,9,104,101,59
5,20,2,19,123,142,50
6,20,5,16,76,111,54
7,20,7,10,113,131,53
1,20,1,18,97,146,73
2,28,4,18,87,134,69
3,20,5,18,96,103,73
4,26,8,12,80,111,68
5,28,4,11,77,104,48
6,26,8,12,80,102,61
7,28,3,18,76,100,43
1,27,7,11,111,143,31
2,20,4,18,81,119,61
3,20,2,13,116,112,36
4,27,5,12,112,111,36
5,27,3,22,113,120,60
6,28,4,19,93,130,58
7,28,6,22,115,107,62
1,28,2,16,103,117,67
2,28,1,10,90,117,54
3,27,3,12,93,127,70
4,20,4,17,85,102,61
5,26,6,13,96,137,59
6,20,5,9,113,129,38
7,20,6,16,86,128,65
1,26,5,21,93,128,49
2,26,7,19,100,133,41
3,20,7,22,91,137,58
4,20,8,19,115,113,72
5,20,1,21,94,145,51
6,27,3,13,90,116,71
7,20,7,21,100,124,57
1,27,7,15,85,102,77
2,26,1,17,123,102,32
3,26,8,16,80,133,35
4,20,7,16,107,114,71
5,20,3,11,108,147,54
6,28,7,15,120,116,58
7,27,4,17,86,149,45
1,27,2,19,114,136,35
2,20,5,17,90,135,51
3,27,7,15,110,142,49
4,28,4,13,102,145,46
5,27,3,16,97,144,47
6,20,1,18,91,103,52
7,28,5,13,80,130,56
1,28,3,10,89,121,31
2,27,1,12,92,126,33
3,20,5,22,98,146,44
4,28,5,16,85,138,48
5,26,2,22,83,138,30
6,20,1,17,113,100,55
7,27,6,17,111,113,43
1,20,6,9,105,138,48
2,20,5,16,103,123,62
3,28,1,19,97,139,57
4,20,5,9,102,135,75
5,27,5,16,84,149,35
6,27,3,11,76,147,50
7,20,8,14,79,108,32
1,28,6,15,90,118,52
2,28,4,22,90,133,49
3,26,6,14,81,104,46
4,26,5,19,86,138,69
5,27,7,11,114,143,55
6,27,2,18,114,142,60
7,26,6,15,99,148,71
1,28,7,18,113,131,65
2,27,2,9,79,109,49
3,27,5,21,123,119,70
4,20,7,14,100,109,38
5,28,6,16,94,135,34
6,28,1,11,117,111,68
7,26,6,21,99,100,56
1,20,1,12,123,118,32
2,28,3,19,117,111,70
3,20,3,10,75,128,41
4,26,2,18,104,137,63
5,27,7,16,113,109,50
6,20,5,14,105,146,51
7,26,5,21,98,124,35
1,28,1,17,89,129,63
2,28,6,21,98,112,79
3,27,2,19,93,107,76
4,28,3,17,117,112,36
5,20,4,13,81,133,58
6,26,8,18,117,119,57
7,20,6,14,86,136,54
1,20,4,21,120,110,63
2,26,1,9,94,145,57
3,27,3,13,122,118,63
4,28,6,13,99,119,35
5,20,4,15,99,109,41
6,27,1,18,92,121,37
7,20,3,13,87,114,43
1,20,6,21,101,123,32
2,26,3,17,107,107,51
3,28,6,18,98,111,61
4,20,5,14,105,124,68
5,27,7,22,82,131,67
6,20,3,9,79,149,37
7,26,1,18,117,129,58
1,20,5,18,123,112,46
2,28,3,17,104,148,48
3,28,3,17,103,124,55
4,20,5,13,99,123,61
5,20,4,17,89,119,60
6,20,3,17,82,102,50
7,28,6,9,121,111,64
1,27,8,11,93,138,60
2,20,3,21,81,105,30
3,27,4,19,103,125,54
4,28,4,17,92,111,30
5,28,4,17,102,141,45
6,27,3,10,122,117,43
7,26,3,14,99,136,40
1,26,7,22,101,125,75
2,28,1,14,75,128,58
3,26,8,18,108,143,63
4,27,4,10,103,121,49
5,27,3,9,122,142,59
6,27,8,13,97,101,53
7,27,7,14,108,134,39
1,27,1,10,112,102,38
2,20,8,9,92,127,37
3,27,7,16,93,135,66
4,27,4,14,79,100,71
5,27,7,10,97,103,31
6,26,4,17,119,141,48
7,26,1,11,101,130,71
1,20,6,21,118,105,67
2,26,8,17,122,108,52
3,20,4,19,103,119,76
4,28,1,13,104,103,53
5,26,7,14,119,145,33
6,20,4,11,99,115,36
7,20,8,22,97,121,67
1,26,7,14,97,114,79
2,28,7,21,104,143,65
3,28,6,15,83,147,68
4,28,7,19,116,122,65
5,28,6,17,88,133,30
6,28,1,9,120,112,58
7,27,5,9,122,141,74
1,26,8,12,89,116,62
2,20,8,9,89,109,33
3,20,2,9,101,144,58
4,26,2,17,93,101,57
5,26,6,21,107,146,47
6,20,6,9,107,131,71
7,27,7,10,96,137,59
1,20,7,21,85,147,57
2,27,7,18,105,104,45
3,28,4,18,111,140,78
4,27,4,16,111,113,66
5,27,8,19,120,114,51
6,27,3,9,81,147,79
7,20,7,22,90,119,69
1,28,4,19,124,103,51
2,26,3,18,93,134,74
3,27,2,16,109,118,68
4,26,6,16,77,145,58
5,28,6,19,79,105,78
6,20,5,10,82,134,55
7,28,2,13,114,101,37
1,20,7,21,97,143,40
2,26,4,14,80,108,35
3,28,3,11,90,126,34
4,26,1,14,120,143,66
5,26,2,18,98,140,33
6,28,1,12,106,130,53
7,28,7,10,101,113,30
1,20,6,14,95,116,42
2,20,3,16,96,112,49
3,27,5,12,76,105,53
4,20,5,12,83,103,51
5,28,1,10,90,114,41
6,20,4,12,76,131,69
7,20,6,11,86,143,54
1,28,8,13,98,112,32
2,27,7,13,123,125,70
3,27,6,12,87,144,50
4,27,7,11,108,143,57
5,27,3,19,80,147,52
6,20,8,18,119,111,40
7,26,5,18,120,118,34
1,26,6,22,111,140,61
2,27,3,14,113,100,66
3,28,5,16,86,133,58
4,26,6,15,95,112,40
5,27,3,14,76,110,52
6,20,4,10,100,131,58
7,28,3,13,83,138,46
1,26,2,15,76,140,31
2,26,8,16,122,132,42
3,26,7,13,98,130,71
4,28,4,14,95,103,63
5,28,7,10,119,100,43
6,28,1,16,117,125,59
7,27,8,13,89,107,36
1,20,8,11,109,100,48
2,27,4,18,106,118,68
3,27,7,19,80,101,38
4,28,5,14,102,104,55
5,28,5,12,111,139,65
6,28,2,16,95,121,34
7,27,2,16,119,133,55
1,26,4,9,92,109,57
2,26,1,13,85,111,36
3,28,3,21,83,132,73
4,26,2,10,77,121,32
5,26,2,12,106,137,72
6,26,7,18,123,143,46
7,28,6,12,94,108,79
1,26,4,11,80,146,78
2,20,1,14,120,132,49
3,20,7,17,95,129,76
4,26,4,16,121,111,64
5,26,6,12,107,104,49
6,20,2,14,79,108,46
7,20,6,11,92,128,31
1,27,4,13,78,103,39
2,26,7,14,103,122,73
3,20,1,14,81,104,67
4,28,2,19,107,123,38
5,28,2,16,114,109,57
6,27,5,14,95,111,43
7,28,8,19,94,136,50
1,26,5,21,96,115,77
2,28,2,17,81,112,67
3,28,5,15,123,137,55
4,26,3,11,88,136,61
5,20,7,13,88,125,58
6,20,5,17,75,130,61
7,27,1,17,113,128,62
1,28,1,9,117,127,53
2,26,4,21,82,111,64
3,26,6,14,91,115,47
4,27,7,18,101,129,45
5,20,1,22,108,144,41
6,27,6,22,87,138,57
7,26,8,18,106,124,62
1,27,8,11,101,100,44
2,26,1,10,98,100,44
3,28,8,19,105,142,45
4,28,2,19,75,102,51
5,27,7,10,121,135,71
6,28,8,18,101,128,36
7,28,8,12,82,134,34
1,20,2,10,81,134,70
2,27,6,10,114,105,73
3,26,6,9,107,103,54
4,27,2,22,95,132,40
5,28,7,15,112,131,68
6,28,8,21,75,133,32
7,26,8,14,91,119,39
1,27,8,9,104,139,72
2,27,4,13,115,142,76
3,28,7,9,111,121,54
4,20,7,22,88,120,59
5,20,7,21,75,147,66
6,20,5,12,105,133,43
7,27,1,17,94,119,77
1,20,4,22,112,142,52
2,26,6,9,97,147,35
3,26,7,9,94,132,49
4,27,6,12,76,145,65
5,27,8,21,113,119,56
6,20,4,19,98,111,61
7,28,8,10,121,124,74
1,28,2,16,97,126,63
2,20,1,19,78,110,79
3,26,5,11,106,127,60
4,27,6,19,112,116,35
5,20,5,14,93,136,76
6,26,5,9,88,134,77
7,28,2,21,124,138,75
1,27,8,18,105,100,54
2,28,3,18,89,128,43
3,27,2,9,100,102,31
4,28,2,11,103,111,56
5,28,4,10,116,134,34
6,28,1,19,108,139,40
7,27,2,14,87,117,62
1,28,3,15,75,130,31
2,28,5,16,91,119,79
3,28,5,13,100,110,74
4,26,5,19,109,149,63
5,26,3,11,117,145,69
6,28,3,14,117,142,48
7,27,5,14,83,125,68
1,27,5,12,122,148,55
2,28,7,17,116,113,76
3,20,6,15,79,114,47
4,26,6,10,100,136,64
5,20,7,13,95,103,48
6,27,6,18,122,140,71
7,26,8,15,118,131,78
1,27,3,21,107,132,72
2,20,7,21,122,138,44
3,26,6,9,116,105,66
4,28,7,13,112,126,61
5,20,3,15,89,121,57
6,20,5,22,104,133,73
7,28,5,11,124,127,30
1,27,5,15,114,147,54
2,20,1,21,80,100,69
3,20,1,15,116,112,35
4,26,5,14,118,115,67
5,20,2,17,121,134,32
6,26,2,17,119,132,78
7,28,3,19,99,148,43
1,20,2,14,116,143,68
2,28,7,10,100,105,74
3,28,1,13,83,143,61
4,27,5,21,109,123,65
5,28,6,19,107,128,75
6,26,2,13,113,100,64
7,27,8,21,80,137,35
1,20,2,16,87,105,52
2,20,3,12,95,121,50
3,20,4,17,104,102,30
4,20,6,16,90,119,39
5,28,5,10,96,131,56
6,28,7,21,107,123,31
7,27,6,22,84,135,59
1,28,2,22,86,107,31
2,28,7,22,95,117,31
3,20,3,13,79,145,65
4,27,5,18,80,113,36
5,20,6,18,93,140,77
6,26,1,21,94,100,53
7,26,3,16,122,146,53
1,28,6,16,95,122,72
2,26,5,22,101,131,43
3,26,1,18,119,135,59
4,20,4,22,97,112,33
5,20,4,17,100,135,30
6,20,7,17,116,118,60
7,26,6,15,78,139,62
1,26,3,21,86,138,65
2,26,2,22,82,109,44
3,27,2,19,123,136,50
4,26,2,9,111,107,30
5,26,3,12,108,133,49
6,20,8,22,122,107,45
7,20,7,14,113,133,68
1,26,4,9,79,143,72
2,28,4,10,90,120,65
3,26,8,18,109,135,43
4,20,2,19,99,127,51
5,27,2,16,75,145,77
6,20,8,12,97,120,72
7,27,2,10,77,113,51
